Key,English,Russian,Turkmen
"gallery.tabs.recommended","Recommended","Рекомендуемые","Maslahat berilýän"
"gallery.title","Gallery","Галерея","Galereýa"
"gallery.zoom","Zoom","Увеличить","Uly görmek"
"hero.contact.call","Call us","Позвоните нам","Biz bilen çyň ediň"
"hero.contact.email","Email","Email","Email"
"hero.contact.email.us","Email us","Напишите нам","Bize email ýazyň"
"hero.contact.error","Sorry, there was an error sending your message. Please try again.","Извините, произошла ошибка при отправке сообщения. Попробуйте еще раз.","Bagyşlaň, habary ibermekde ýalňyşlyk ýüze çykdy. Ýene synaşyň."
"hero.contact.message","Message","Сообщение","Habar"
"hero.contact.name","Your name","Ваше имя","Adyňyz"
"hero.contact.phone","+993 12 357230","+993 12 357230","+993 12 357230"
"hero.contact.send","Send","Отправить","Iber"
"hero.contact.thankyou","Thank you for your message! We'll get back to you soon.","Спасибо за ваше сообщение! Мы свяжемся с вами в ближайшее время.","Habaryňyz üçin sag boluň! Ýakyn wagtda siz bilen habarlaşarys."
"hero.contact.title","Contact us","Свяжитесь с нами","Biz bilen habarlaşyň"
"hero.contact.visit","Turkmenistan, Ashgabat","Туркменистан, Ашхабад","Türkmenistan, Aşgabat"
"hero.contact.visit.us","Visit us","Посетите нас","Bizi zyýarat ediň"
"hero.description","Premium quality carpets crafted with modern technology and traditional expertise.","Ковры премиум-класса, созданные с использованием современных технологий и традиционного мастерства.","Häzirki tehnologiýa we geleneksiz ussatlyk bilen taýýarlanan premium hili halylar."
"hero.explore","Explore Carpets","Посмотреть ковры","Halylary görüň"
"hero.exploreGallery","Explore Gallery","Изучить галерею","Galereýany gözden geçiriň"
"hero.highlight","#1 Turkmenistan Carpet Manufacturing Company","#1 Компания по производству ковров в Туркменистане","#1 Türkmenistanyň haly öndürýän kompaniýasy"
"hero.qualityAssurance","QUALITY ASSURANCE","ГАРАНТИЯ КАЧЕСТВА","HIL ÜPJÜNÇILIGI"
"hero.scroll","Scroll to explore","Прокрутите, чтобы изучить","Gözden geçirmek üçin aşak aýlaň"
"hero.sub","24/7 Vandewiele production with in-house Neumag polypropylene yarn. Modern, color-fast carpets—reliable since 2016.","Производство Vandewiele 24/7 с собственной полипропиленовой пряжей Neumag. Современные, устойчивые к выцветанию ковры — надежные с 2016 года.","24/7 Vandewiele önümçiligi, öz Neumag polipropilen ýüplügimiz bilen. Häzirki döwür, reňk berkitilen halylar — 2016-njy ýyldan bäri ynamdar."
"hero.title","Crafted at scale. Built for real homes.","Создано в масштабе. Построено для настоящих домов.","Uly möçberde taýýarlanan. Hakyky öýler üçin gurlan."
"hero.trust.certificates","ISO 9001/14001/45001","ISO 9001/14001/45001","ISO 9001/14001/45001"
"hero.trust.designs","400+ designs","400+ дизайнов","400+ dizaýn"
"hero.trust.production","3M m² (2020)","3M м² (2020)","3M m² (2020)"
"hero.trust.years","8+ years","8+ лет","8+ ýyl"
"hero.view3d","View in 3D Viewer","Посмотреть в 3D","3D görkezijide görüň"
"hero.view3d.button","View in 3D","Посмотреть в 3D","3D-da görüň"
"language.change","Change language","Изменить язык","Dili üýtget"
"language.selected","Language selected: English (you can change it)","Язык выбран: Русский (вы можете изменить его)","Dil saýlandy: Türkmen (ony üýtgedip bilersiňiz)"
"milestones.ai","AI-assisted design workflow","AI-ассистированный рабочий процесс дизайна","AI kömekli dizaýn iş akşamy"
"milestones.ai.desc","Technology integration.","Интеграция технологий.","Tehnologiýa integratsiýasy."
"milestones.employees","8 Vandewiele looms, 600+ employees","8 ткацких станков Vandewiele, 600+ сотрудников","8 Vandewiele dokuwa maşyny, 600+ işgär"
"milestones.employees.desc","24/7 operations.","Операции 24/7.","24/7 işlemek."
"milestones.exports","First exports begin","Начались первые экспорты","Ilkinji eksport başlandy"
"milestones.exports.desc","International shipments start.","Начались международные поставки.","Halkara ýük göndermek başlandy."
"milestones.founded","Company founded","Компания основана","Kompaniýa esaslandy"
"milestones.founded.desc","3 Vandewiele machines.","3 машины Vandewiele.","3 Vandewiele maşyny."
"milestones.partner","Become a partner","Стать партнером","Hyzmatdaş boluň"
"milestones.production","3,000,000 m² carpets & items produced","3,000,000 м² ковров и изделий произведено","3,000,000 m² haly we zatlar öndürildi"
"milestones.production.desc","National record.","Национальный рекорд.","Milli ýazuw."
"milestones.title","Company milestones","Вехи компании","Kompaniýa ýetginjekleri"
"nav.about","About","О нас","Biz barada"
"nav.collab","Collaboration","Сотрудничество","Hyzmatdaşlyk"
"nav.gallery","Gallery","Галерея","Galereýa"
"nav.home","Home","Главная","Baş sahypa"
"nav.stores","Stores","Магазины","Dükänler"
"products.filter.all","All","Все","Ählisi"
"products.title","Products","Продукция","Önümler"
"services.ar","AR preview","Предварительный просмотр в AR","AR arkaly öňünden görkezijek"
"services.care","Care & support","Уход и поддержка","Gözegçilik we goldaw"
"services.care.support","Care & support","Уход и поддержка","Gözegçilik we goldaw"
"services.care.support.desc","Care guides and responsive customer service.","Руководства по уходу и отзывчивый сервис клиентов.","Gözegçilik gollanmalary we çalt müşderi hyzmaty."
"services.custom.designs","Custom designs","Индивидуальные дизайны","Sargyt boýunça dizaýnlar"
"services.custom.designs.desc","Heritage motifs or modern palettes, tailored to your brief.","Наследие мотивов или современные палитры, адаптированные под ваш запрос.","Miras motiwleri ýa-da häzirki palitralar, siziň talabyňyza laýyklaşdyrylan."
"services.custom.sizes","Custom sizes","Индивидуальные размеры","Sargyt boýunça ölçegler"
"services.custom.sizes.desc","Order made-to-measure dimensions.","Размеры по индивидуальному заказу.","Sargyt boýunça ölçegler."
"services.delivery","Free delivery","Бесплатная доставка","Mugt eltip bermek"
"services.delivery.details","See delivery details","Посмотреть детали доставки","Eltip berme jikmelerini görüň"
"services.design","Custom designs","Индивидуальные дизайны","Sargyt boýunça dizaýnlar"
"services.free.delivery","Free delivery","Бесплатная доставка","Mugt eltip bermek"
"services.free.delivery.desc","Safe packaging and scheduled delivery windows.","Безопасная упаковка и запланированные окна доставки.","Howpsuz paketleme we planlaşdyrylan eltip berme wagtlary."
"services.free.measure","Free in-home measuring","Бесплатное измерение на дому","Mugt öýde ölçemek"
"services.free.measure.desc","Accurate room sizing to select the right carpet.","Точное измерение комнаты для выбора подходящего ковра.","Dogry haly saýlamak üçin takyk otag ölçegi."
"services.installation","Installation service","Услуга установки","Gurnama hyzmaty"
"services.installation.desc","Professional carpet installation and placement.","Профессиональная установка и размещение ковра.","Hünärmen haly gurnama we ýerleşdirmek."
"services.measure","Free in-home measuring","Бесплатное измерение на дому","Öýde mugt ölçemek"
"services.request.measure","Request measuring","Заказать измерение","Ölçemek sargyt ediň"
"services.size","Custom sizes","Индивидуальные размеры","Sargyt boýunça ölçegler"
"services.title","Our Services","Наши услуги","Hyzmatlarymyz"
"social.autoplay","Only the first post autoplays. Others play on click.","Только первый пост воспроизводится автоматически. Остальные по клику.","Diňe birinji post awtomatik oýnalýar. Başgalar basmak bilen oýnalýar."
"social.follow","Follow","Подписаться","Yzarlaň"
"social.openPost","Open post","Открыть пост","Posty açyň"
"social.subtitle","Follow our latest carpets in real homes.","Следите за нашими последними коврами в реальных домах.","Iň soňky halylarymyzy hakyky öýlerde görmek üçin yzarlaň."
"social.title","#Abadanhaly","#Abadanhaly","#Abadanhaly"
"stats.designs","Designs","Дизайнов","Dizaýnlar"
"stats.employees","Employees","Сотрудников","Işgärler"
"stats.looms","Looms","Ткацких станков","Dokuwa maşynlary"
"stats.production","Production","Производство","Önümçilik"
"stats.specialists","Specialists","Специалистов","Hünärmenler"
"stats.years","Years","Лет","Ýyllar"
"stores.all","All","Все","Ählisi"
"stores.ar.demo","AR demo","AR демо","AR demo"
"stores.ar.demo.desc","View products in AR","Посмотрите продукты в AR","AR-da önümleri görüň"
"stores.call","Call","Позвонить","Çyň ediň"
"stores.delivery","Delivery","Доставка","Eltip bermek"
"stores.delivery.desc","Free delivery service","Бесплатная доставка","Mugt eltip bermek hyzmaty"
"stores.description","We'll show distance in kilometers and the fastest way to visit.","Мы покажем расстояние в километрах и самый быстрый способ посещения.","Kilometrlerde aralygy we zyýarat etmegiň iň çalt ýoluny görkezeris."
"stores.expert","Expert consultation","Экспертная консультация","Hünärmen maslahat"
"stores.expert.desc","Consult with an expert","Проконсультируйтесь с экспертом","Hünärmen bilen maslahatlaşyň"
"stores.find","Find your nearest store","Найти ближайший магазин","Iň ýakyn dükäni tapyň"
"stores.finding","Finding...","Поиск...","Tapylýar..."
"stores.go","Go","Поехать","Git"
"stores.km.away","km away","км от вас","km uzakda"
"stores.location.denied","Location access denied. Please enable location services.","Доступ к местоположению запрещен. Пожалуйста, включите службы местоположения.","Ýerleşýän ýer rugsady ýatyryldy. Iltimas, ýerleşýän ýer hyzmatlaryny işjeňleşdiriň."
"stores.location.error","Geolocation is not supported by this browser.","Геолокация не поддерживается этим браузером.","Geolokasiýa bu brauzer tarapyndan goldanmaýar."
"stores.location.retrieve","Unable to retrieve your location.","Не удается получить ваше местоположение.","Ýerleşýän ýeriňizi almak mümkin däl."
"stores.location.timeout","Location request timed out.","Запрос местоположения истек.","Ýerleşýän ýer soraşygy wagty geçdi."
"stores.location.unavailable","Location information is unavailable.","Информация о местоположении недоступна.","Ýerleşýän ýer maglumatlary elýeterli däl."
"stores.location.use","We'll use your location to find the closest store","Мы будем использовать ваше местоположение для поиска ближайшего магазина","Iň ýakyn dükäni tapmak üçin ýerleşýän ýeriňizi ulanyp bilersiňiz"
"stores.nearest","Nearest","Ближайший","Iň ýakyn"
"stores.services","Services","Услуги","Hyzmatlar"
"stores.subtitle","Find your nearest store","Найдите ближайший магазин","Iň ýakyn dükäni tapyň"
"stores.support","Support","Поддержка","Goldaw"
"stores.support.desc","24/7 support service","Поддержка 24/7","24/7 goldaw hyzmaty"
"stores.title","Stores","Магазины","Dükänler"
"stores.useLocation","Use my location","Использовать мое местоположение","Meniň ýerleşýän ýerimi ulan"
